country,category,date,index,base_period,source
DEU,all_items,2014-01-01,98.7963,2015,OECD coicop1999
DEU,all_items,2014-02-01,99.26276,2015,OECD coicop1999
DEU,all_items,2014-03-01,99.54263,2015,OECD coicop1999
DEU,all_items,2014-04-01,99.35605,2015,OECD coicop1999
DEU,all_items,2014-05-01,99.26276,2015,OECD coicop1999
DEU,all_items,2014-06-01,99.54263,2015,OECD coicop1999
DEU,all_items,2014-07-01,99.82251,2015,OECD coicop1999
DEU,all_items,2014-08-01,99.82251,2015,OECD coicop1999
DEU,all_items,2014-09-01,99.82251,2015,OECD coicop1999
DEU,all_items,2014-10-01,99.54263,2015,OECD coicop1999
DEU,all_items,2014-11-01,99.54263,2015,OECD coicop1999
DEU,all_items,2014-12-01,99.54263,2015,OECD coicop1999
DEU,all_items,2015-01-01,98.51642,2015,OECD coicop1999
DEU,all_items,2015-02-01,99.21654,2015,OECD coicop1999
DEU,all_items,2015-03-01,99.71662,2015,OECD coicop1999
DEU,all_items,2015-04-01,100.2167,2015,OECD coicop1999
DEU,all_items,2015-05-01,100.4167,2015,OECD coicop1999
DEU,all_items,2015-06-01,100.4167,2015,OECD coicop1999
DEU,all_items,2015-07-01,100.6168,2015,OECD coicop1999
DEU,all_items,2015-08-01,100.6168,2015,OECD coicop1999
DEU,all_items,2015-09-01,100.4167,2015,OECD coicop1999
DEU,all_items,2015-10-01,100.4167,2015,OECD coicop1999
DEU,all_items,2015-11-01,99.71662,2015,OECD coicop1999
DEU,all_items,2015-12-01,99.71662,2015,OECD coicop1999
DEU,all_items,2016-01-01,99.0165,2015,OECD coicop1999
DEU,all_items,2016-02-01,99.31655,2015,OECD coicop1999
DEU,all_items,2016-03-01,100.0167,2015,OECD coicop1999
DEU,all_items,2016-04-01,100.1167,2015,OECD coicop1999
DEU,all_items,2016-05-01,100.6168,2015,OECD coicop1999
DEU,all_items,2016-06-01,100.7168,2015,OECD coicop1999
DEU,all_items,2016-07-01,101.1169,2015,OECD coicop1999
DEU,all_items,2016-08-01,101.0168,2015,OECD coicop1999
DEU,all_items,2016-09-01,101.0168,2015,OECD coicop1999
DEU,all_items,2016-10-01,101.2169,2015,OECD coicop1999
DEU,all_items,2016-11-01,100.5168,2015,OECD coicop1999
DEU,all_items,2016-12-01,101.2169,2015,OECD coicop1999
DEU,all_items,2017-01-01,100.6168,2015,OECD coicop1999
DEU,all_items,2017-02-01,101.2169,2015,OECD coicop1999
DEU,all_items,2017-03-01,101.4169,2015,OECD coicop1999
DEU,all_items,2017-04-01,101.817,2015,OECD coicop1999
DEU,all_items,2017-05-01,101.817,2015,OECD coicop1999
DEU,all_items,2017-06-01,102.117,2015,OECD coicop1999
DEU,all_items,2017-07-01,102.5171,2015,OECD coicop1999
DEU,all_items,2017-08-01,102.6171,2015,OECD coicop1999
DEU,all_items,2017-09-01,102.7171,2015,OECD coicop1999
DEU,all_items,2017-10-01,102.5171,2015,OECD coicop1999
DEU,all_items,2017-11-01,102.117,2015,OECD coicop1999
DEU,all_items,2017-12-01,102.6171,2015,OECD coicop1999
DEU,all_items,2018-01-01,102.017,2015,OECD coicop1999
DEU,all_items,2018-02-01,102.3171,2015,OECD coicop1999
DEU,all_items,2018-03-01,102.9172,2015,OECD coicop1999
DEU,all_items,2018-04-01,103.1172,2015,OECD coicop1999
DEU,all_items,2018-05-01,103.9173,2015,OECD coicop1999
DEU,all_items,2018-06-01,104.0173,2015,OECD coicop1999
DEU,all_items,2018-07-01,104.4174,2015,OECD coicop1999
DEU,all_items,2018-08-01,104.5174,2015,OECD coicop1999
DEU,all_items,2018-09-01,104.7175,2015,OECD coicop1999
DEU,all_items,2018-10-01,104.9175,2015,OECD coicop1999
DEU,all_items,2018-11-01,104.2174,2015,OECD coicop1999
DEU,all_items,2018-12-01,104.2174,2015,OECD coicop1999
DEU,all_items,2019-01-01,103.4172,2015,OECD coicop1999
DEU,all_items,2019-02-01,103.8173,2015,OECD coicop1999
DEU,all_items,2019-03-01,104.2174,2015,OECD coicop1999
DEU,all_items,2019-04-01,105.2175,2015,OECD coicop1999
DEU,all_items,2019-05-01,105.4176,2015,OECD coicop1999
DEU,all_items,2019-06-01,105.7176,2015,OECD coicop1999
DEU,all_items,2019-07-01,106.2177,2015,OECD coicop1999
DEU,all_items,2019-08-01,106.0177,2015,OECD coicop1999
